amount,tx_count_1min,tx_amount_1hour,is_new_device,is_overseas,is_night,currency,sender_country,receiver_country,is_cross_border,amount_risk_tier,amount_usd_equivalent,avg_amount_usd_24h,sender_account_age_days,receiver_account_age_days,sender_tx_count_24h,sender_total_amount_usd_24h,receiver_inbound_count_24h,sender_receiver_tx_count_24h,small_amount_burst_1m,small_amount_spread_24h,is_first_time_receiver,fraud
417396.19,3,757379.73,0,0,0,VND,VN,VN,0,MEDIUM,16.7,9.77,295,373,2,19.53,1,1,0,0,0,0
154195.67,1,495388.02,0,0,0,VND,VN,VN,0,LOW,6.17,9.17,293,415,2,18.35,1,2,0,0,0,0
162824.25,3,386534.99,0,0,0,VND,VN,VN,0,LOW,6.51,13.69,697,337,1,13.69,2,1,0,0,0,0
633847.46,1,846214.64,1,0,0,VND,VN,VN,0,MEDIUM,25.35,4.48,1126,400,5,22.41,2,2,0,0,0,0
195886.25,0,705646.44,0,0,0,VND,VN,VN,0,LOW,7.84,3.38,623,179,4,13.54,0,1,0,0,0,0
933288.73,3,2020854.34,0,1,0,VND,VN,US,1,MEDIUM,37.33,21.93,979,11,3,65.79,1,2,0,0,0,0
245838.99,1,891281.22,0,0,0,VND,VN,VN,0,MEDIUM,9.83,24.14,979,294,1,24.14,1,1,0,0,0,1
257283.7,0,1114094.5,1,0,1,VND,VN,VN,0,MEDIUM,10.29,4.26,843,511,2,8.52,0,0,0,0,0,0
495687.92,3,739708.28,0,0,0,VND,VN,VN,0,MEDIUM,19.83,17.34,174,712,4,69.35,0,0,0,0,0,0
119670.42,2,424612.17,0,0,1,VND,VN,VN,0,LOW,4.79,2.71,1148,165,5,13.53,1,1,0,0,1,0
257535.54,2,778034.93,1,0,1,VND,VN,VN,0,MEDIUM,10.3,3.75,848,365,5,18.75,2,1,0,0,0,0
3848238.13,4,9403987.86,0,1,0,USD,US,VN,1,CRITICAL,3848238.13,5880717.23,328,56,1,5880717.23,2,1,0,0,0,0
1468223.55,1,4250265.19,1,0,1,VND,VN,VN,0,MEDIUM,58.73,122.25,425,326,1,122.25,1,1,0,0,0,0
107207.45,1,99754.05,0,0,0,VND,VN,VN,0,LOW,4.29,4.84,1445,641,2,9.69,1,1,0,0,0,0
380124.72,4,1507579.97,0,0,0,VND,VN,VN,0,MEDIUM,15.2,16.51,516,56,3,49.52,1,1,0,0,0,0
257150.37,2,902061.89,0,0,1,VND,VN,VN,0,MEDIUM,10.29,33.1,1139,150,0,33.1,1,0,0,0,0,0
275379.21,1,1397245.71,1,0,1,VND,VN,VN,0,MEDIUM,11.02,11.83,567,514,3,35.49,0,1,0,0,0,1
164031.49,4,278567.35,1,0,0,VND,VN,VN,0,LOW,6.56,0.97,674,666,4,3.9,8,1,0,0,1,0
522747.23,1,2193345.44,0,0,0,VND,VN,VN,0,MEDIUM,20.91,23.29,1048,306,3,69.86,1,3,0,0,1,0
503012.64,0,519957.7,0,0,0,VND,VN,VN,0,MEDIUM,20.12,8.97,1062,656,3,26.9,0,0,0,0,1,0
1967268.67,3,6550885.03,0,0,1,VND,VN,VN,0,MEDIUM,78.69,29.83,1045,546,2,59.67,2,1,0,0,0,0
110105.09,0,239609.41,0,0,0,VND,VN,VN,0,LOW,4.4,11.04,931,657,0,11.04,1,0,0,0,0,0
391197.78,4,727312.02,0,1,0,VND,VN,US,1,MEDIUM,15.65,12.39,1488,36,3,37.17,2,0,0,0,0,0
7152227.87,7,42400842.53,0,1,0,USD,US,VN,1,CRITICAL,7152227.87,4735353.32,529,75,5,23676766.6,1,0,0,0,0,1
285238.52,0,652496.21,0,0,0,VND,VN,VN,0,MEDIUM,11.41,5.52,12,95,5,27.59,1,2,0,0,1,0
210533.82,1,1086372.07,0,0,0,VND,VN,VN,0,MEDIUM,8.42,2.6,562,91,2,5.19,2,1,0,0,0,0
341526.66,3,1227196.51,1,0,0,VND,VN,VN,0,MEDIUM,13.66,2.36,1318,613,6,14.17,1,1,0,0,0,0
104178.46,2,578207.22,0,0,0,VND,VN,VN,0,LOW,4.17,11.97,372,195,1,11.97,2,0,0,0,1,0
393129.82,0,2286372.73,0,0,0,VND,VN,VN,0,MEDIUM,15.73,6.38,172,779,6,38.27,1,0,0,0,0,0
279233.47,1,343557.27,0,0,0,VND,VN,VN,0,MEDIUM,11.17,9.35,431,359,1,9.35,0,0,0,0,0,0
663533.14,2,1670937.86,0,0,0,VND,VN,VN,0,MEDIUM,26.54,40.11,172,536,2,80.21,3,2,0,0,1,0
2276589.42,1,12811667.36,0,1,0,VND,VN,US,1,HIGH,91.06,87.88,941,551,3,263.63,3,2,0,0,0,1
600338.96,2,1517058.32,0,0,0,VND,VN,VN,0,MEDIUM,24.01,19.91,996,200,4,79.63,0,0,0,0,0,0
342191.9,1,1075588.83,0,0,0,VND,VN,VN,0,MEDIUM,13.69,6.87,673,529,4,27.5,2,0,0,0,0,0
987823.92,4,2144753.66,0,0,0,VND,VN,VN,0,MEDIUM,39.51,38.19,65,407,2,76.37,0,1,0,0,0,0
456886.28,2,2325008.06,1,0,0,VND,VN,VN,0,MEDIUM,18.28,8.9,1387,58,3,26.71,1,0,0,0,0,0
198820.86,2,446852.03,0,0,0,VND,VN,VN,0,LOW,7.95,10.39,908,649,2,20.77,1,1,0,0,0,0
161632.69,0,726789.28,0,0,1,VND,VN,VN,0,LOW,6.47,6.93,145,4,3,20.79,0,1,0,0,0,0
175887.77,0,598724.49,0,0,1,VND,VN,VN,0,LOW,7.04,6.13,921,220,0,6.13,1,0,0,0,0,0
461216.37,1,2030205.82,0,0,0,VND,VN,VN,0,MEDIUM,18.45,9.18,705,730,2,18.35,4,1,0,0,0,0
109238.11,2,377204.39,0,0,0,VND,VN,VN,0,LOW,4.37,3.85,114,313,2,7.69,1,1,0,0,0,0
333143.79,2,591402.64,0,0,0,VND,VN,VN,0,MEDIUM,13.33,6.87,455,429,4,27.48,0,0,0,0,0,0
158791.07,3,439232.0,1,0,0,VND,VN,VN,0,LOW,6.35,4.14,592,496,2,8.29,2,2,0,0,0,0
115862.49,0,27561.64,0,0,0,VND,VN,VN,0,LOW,4.63,1.26,709,576,3,3.79,1,0,0,0,0,0
130777.36,1,591064.51,0,0,1,VND,VN,VN,0,LOW,5.23,3.7,808,30,2,7.41,1,1,0,0,0,0
291313.81,2,998071.97,0,0,0,VND,VN,VN,0,MEDIUM,11.65,17.13,970,174,0,17.13,2,0,0,0,0,0
525881.48,1,2123902.82,0,0,1,VND,VN,VN,0,MEDIUM,21.04,12.47,534,94,2,24.94,2,2,0,0,0,0
178625.67,0,624439.92,0,0,0,VND,VN,VN,0,LOW,7.15,2.15,608,700,2,4.3,2,0,0,0,0,0
62505.96,2,0.0,0,0,0,VND,VN,VN,0,LOW,2.5,0.91,1339,783,6,5.49,4,2,0,0,0,0
3158950.66,1,11584781.25,0,0,0,VND,VN,VN,0,HIGH,126.36,376.3,699,736,1,376.3,2,0,0,0,0,0
685804.28,2,1841004.58,0,0,0,VND,VN,VN,0,MEDIUM,27.43,8.89,1044,550,2,17.78,1,2,0,0,0,0
596723.67,1,2881810.76,0,0,1,VND,VN,VN,0,MEDIUM,23.87,30.1,1056,465,1,30.1,1,1,0,0,0,0
1005413.0,2,5131288.74,0,0,0,VND,VN,VN,0,MEDIUM,40.22,81.92,502,646,1,81.92,2,0,0,0,0,0
317831.73,3,1288699.51,0,0,0,VND,VN,VN,0,MEDIUM,12.71,42.02,676,706,1,42.02,0,0,0,0,0,0
268001.85,3,300812.21,1,0,1,VND,VN,VN,0,MEDIUM,10.72,12.07,642,735,3,36.2,1,1,0,0,0,1
819822.85,2,3350410.82,0,0,0,VND,VN,VN,0,MEDIUM,32.79,10.62,367,103,2,21.24,1,2,0,0,0,0
815683.74,0,2758186.31,0,0,0,VND,VN,VN,0,MEDIUM,32.63,16.75,111,664,3,50.24,0,0,0,0,0,0
470424.18,2,2622568.51,1,0,0,VND,VN,VN,0,MEDIUM,18.82,13.66,1495,674,1,13.66,5,1,0,0,0,0
574855.16,1,2071153.66,0,0,0,VND,VN,VN,0,MEDIUM,22.99,11.54,1332,491,4,46.15,0,2,0,0,0,0
117116.08,1,247596.18,0,0,1,VND,VN,VN,0,LOW,4.68,2.86,1455,182,1,2.86,2,1,0,0,0,0
244482.2,2,1069725.59,0,0,0,VND,VN,VN,0,MEDIUM,9.78,7.28,164,432,3,21.83,1,0,0,0,0,0
1064335.36,1,4136526.9,0,0,0,VND,VN,VN,0,MEDIUM,42.57,42.39,1189,607,3,127.17,1,1,0,0,1,0
542128.42,3,1676574.38,0,0,0,VND,VN,VN,0,MEDIUM,21.69,23.3,234,193,3,69.91,2,0,0,0,0,0
99060.33,0,376480.83,0,0,0,VND,VN,VN,0,LOW,3.96,3.08,454,616,1,3.08,2,1,0,0,0,0
199121.99,0,754149.83,0,0,0,VND,VN,VN,0,LOW,7.96,26.73,1087,708,1,26.73,0,1,0,0,1,0
941959.49,2,3163823.82,0,0,0,VND,VN,VN,0,MEDIUM,37.68,18.41,191,506,6,110.46,1,2,0,0,1,0
417238.33,0,2399675.82,0,0,0,VND,VN,VN,0,MEDIUM,16.69,6.15,1339,416,2,12.3,2,0,0,0,0,0
339903.48,0,1351782.39,1,0,0,VND,VN,VN,0,MEDIUM,13.6,2.59,1175,1,4,10.36,1,2,0,0,0,0
347656.69,1,1195261.61,0,0,0,VND,VN,VN,0,MEDIUM,13.91,20.72,885,731,2,41.43,1,1,0,0,0,0
278543.34,1,1251834.59,0,0,0,VND,VN,VN,0,MEDIUM,11.14,20.05,1256,55,0,20.05,0,0,0,0,0,0
200149.09,2,1179213.6,0,0,0,VND,VN,VN,0,MEDIUM,8.01,5.05,914,347,3,15.14,2,2,0,0,0,0
158705.95,2,45894.64,0,0,0,VND,VN,VN,0,LOW,6.35,14.7,814,220,1,14.7,1,1,0,0,0,0
632694.8,0,2047852.02,0,0,0,VND,VN,VN,0,MEDIUM,25.31,70.43,1049,520,1,70.43,1,0,0,0,0,0
354392.04,3,848104.52,0,0,0,VND,VN,VN,0,MEDIUM,14.18,8.91,48,495,3,26.73,1,3,0,0,0,0
503978.97,2,2216851.31,0,0,0,VND,VN,VN,0,MEDIUM,20.16,23.42,533,48,3,70.26,2,0,0,0,0,0
446867.2,0,1321944.4,1,0,0,VND,VN,VN,0,MEDIUM,17.87,18.37,60,111,3,55.11,2,2,0,0,0,0
853019.21,1,3768614.56,0,0,0,VND,VN,VN,0,MEDIUM,34.12,9.23,1403,725,3,27.69,1,1,0,0,0,0
417058.54,1,1534091.3,1,0,0,VND,VN,VN,0,MEDIUM,16.68,10.27,89,58,3,30.8,0,3,0,0,0,0
550018.5,1,1875121.75,0,0,0,VND,VN,VN,0,MEDIUM,22.0,14.22,368,466,1,14.22,0,1,0,0,1,0
336200.26,1,2089100.11,0,0,0,VND,VN,VN,0,MEDIUM,13.45,4.81,1251,55,4,19.26,2,0,0,0,0,0
145716.34,2,773640.19,1,0,0,VND,VN,VN,0,LOW,5.83,1.69,1158,55,3,5.07,1,3,0,0,1,0
250393.07,2,1497191.66,1,0,1,VND,VN,VN,0,MEDIUM,10.02,2.17,736,561,4,8.69,3,0,0,0,0,0
461593.3,1,1879753.41,0,0,0,VND,VN,VN,0,MEDIUM,18.46,17.15,531,478,2,34.3,2,1,0,0,0,0
492995.12,1,2363559.83,0,0,0,VND,VN,VN,0,MEDIUM,19.72,4.55,1308,608,5,22.77,0,1,0,0,0,0
880522.69,1,1611428.75,1,0,0,VND,VN,VN,0,MEDIUM,35.22,41.55,353,584,1,41.55,4,1,0,0,0,0
210041.35,2,103232.75,0,0,0,VND,VN,VN,0,MEDIUM,8.4,1.66,1078,266,5,8.3,0,4,0,0,0,0
351336.13,2,584361.42,0,0,0,VND,VN,VN,0,MEDIUM,14.05,20.89,766,50,2,41.78,2,0,0,0,0,0
269179.52,2,579343.39,0,0,0,VND,VN,VN,0,MEDIUM,10.77,2.65,941,661,3,7.96,2,0,0,0,0,0
1002727.56,0,1377552.87,0,0,0,VND,VN,VN,0,MEDIUM,40.11,13.49,1290,446,4,53.96,1,1,0,0,0,0
393303.34,3,1210139.47,0,0,0,VND,VN,VN,0,MEDIUM,15.73,8.56,121,474,6,51.37,1,1,0,0,0,0
398991.61,0,1205270.37,0,0,0,VND,VN,VN,0,MEDIUM,15.96,24.54,1115,466,1,24.54,2,1,0,0,0,0
288732.29,3,1204786.87,0,0,1,VND,VN,VN,0,MEDIUM,11.55,1.58,1068,135,6,9.46,1,1,0,0,0,0
250496.05,1,1405032.61,0,0,0,VND,VN,VN,0,MEDIUM,10.02,8.72,205,12,4,34.87,1,2,0,0,1,0
100057.24,2,510001.53,0,0,0,VND,VN,VN,0,LOW,4.0,4.24,72,468,1,4.24,3,1,0,0,0,0
115162.38,1,469218.42,0,0,0,VND,VN,VN,0,LOW,4.61,3.78,1231,292,2,7.55,4,1,0,0,1,0
339128.15,0,1817796.7,0,0,1,VND,VN,VN,0,MEDIUM,13.57,1.9,298,80,4,7.58,2,3,0,0,0,0
308850.27,1,670247.43,0,0,1,VND,VN,VN,0,MEDIUM,12.35,4.15,1280,392,2,8.29,0,2,0,0,0,0
340550.11,0,1245758.49,0,0,0,VND,VN,VN,0,MEDIUM,13.62,3.19,70,665,3,9.58,0,2,0,0,0,0
600814.76,2,3168896.49,1,0,0,VND,VN,VN,0,MEDIUM,24.03,14.02,806,692,5,70.12,1,0,0,0,0,0
1301277.07,5,7392171.02,0,1,1,VND,VN,US,1,MEDIUM,52.05,12.04,1136,370,10,120.36,2,2,0,0,0,1
1042705.25,4,6310696.5,0,1,0,USD,US,VN,1,CRITICAL,1042705.25,466134.59,993,786,5,2330672.96,4,2,0,0,0,0
253347.63,2,1484783.95,0,0,0,VND,VN,VN,0,MEDIUM,10.13,10.85,1034,674,3,32.56,1,3,0,0,0,0
